ticker,fold,mode,cutoff_date
SPY,2,B,2022-12-30
TSLA,2,B,2022-12-30
HTN,2,B,2022-12-30
QQQ,2,B,2022-12-30
AAPL,2,B,2022-12-30
MSFT,2,B,2022-12-30
AMZN,2,B,2022-12-30
NVDA,2,B,2022-12-30
IWM,2,B,2022-12-30
META,2,B,2022-12-30
ACL,2,B,2022-12-30
AMD,2,B,2022-12-30
GOOGL,2,B,2022-12-30
NFLX,2,B,2022-12-30
DHA,2,B,2022-12-30
DHAI,2,B,2022-12-30
GOOG,2,B,2022-12-30
BABA,2,B,2022-12-30
XOM,2,B,2022-12-30
CRM,2,B,2022-12-30
XLE,2,B,2022-12-30
MRNA,2,B,2022-12-30
DIA,2,B,2022-12-30
XLF,2,B,2022-12-30
AVGO,2,B,2022-12-30
BAC,2,B,2022-12-30
V,2,B,2022-12-30
BA,2,B,2022-12-30
UNH,2,B,2022-12-30
DIS,2,B,2022-12-30
JPM,2,B,2022-12-30
CVX,2,B,2022-12-30
ADBE,2,B,2022-12-30
HD,2,B,2022-12-30
JNJ,2,B,2022-12-30
NKE,2,B,2022-12-30
INTC,2,B,2022-12-30
MU,2,B,2022-12-30
PYPL,2,B,2022-12-30
XLV,2,B,2022-12-30
TSM,2,B,2022-12-30
LLY,2,B,2022-12-30
MRK,2,B,2022-12-30
COST,2,B,2022-12-30
XLI,2,B,2022-12-30
PG,2,B,2022-12-30
PFE,2,B,2022-12-30
CSCO,2,B,2022-12-30
WMT,2,B,2022-12-30
PDD,2,B,2022-12-30
XLK,2,B,2022-12-30
VZ,2,B,2022-12-30
MA,2,B,2022-12-30
CMCSA,2,B,2022-12-30
QCOM,2,B,2022-12-30
WFC,2,B,2022-12-30
PEP,2,B,2022-12-30
C,2,B,2022-12-30
XBI,2,B,2022-12-30
TXN,2,B,2022-12-30
OXY,2,B,2022-12-30
TMUS,2,B,2022-12-30
SHOP,2,B,2022-12-30
ABBV,2,B,2022-12-30
SMH,2,B,2022-12-30
KO,2,B,2022-12-30
GS,2,B,2022-12-30
XLU,2,B,2022-12-30
AMGN,2,B,2022-12-30
CAT,2,B,2022-12-30
ORCL,2,B,2022-12-30
ACN,2,B,2022-12-30
AMAT,2,B,2022-12-30
TEAM,2,B,2022-12-30
MCDT,2,B,2022-12-30
XLY,2,B,2022-12-30
XYZ,2,B,2022-12-30
T,2,B,2022-12-30
COP,2,B,2022-12-30
LOW,2,B,2022-12-30
CHTH,2,B,2022-12-30
CHTP,2,B,2022-12-30
FTV,2,B,2022-12-30
GDDY,2,B,2022-12-30
GEN,2,B,2022-12-30
GIS,2,B,2022-12-30
GILD,2,B,2022-12-30
BMY,2,B,2022-12-30
SBUX,2,B,2022-12-30
FERG,2,B,2022-12-30
BKNG,2,B,2022-12-30
XLP,2,B,2022-12-30
ASML,2,B,2022-12-30
MS,2,B,2022-12-30
DE,2,B,2022-12-30
LRCX,2,B,2022-12-30
DHR,2,B,2022-12-30
PM,2,B,2022-12-30
SPGI,2,B,2022-12-30
MDT,2,B,2022-12-30
IBM,2,B,2022-12-30
HON,2,B,2022-12-30
TGT,2,B,2022-12-30
UPS,2,B,2022-12-30
F,2,B,2022-12-30
ABNB,2,B,2022-12-30
LMT,2,B,2022-12-30
IRM,2,B,2022-12-30
UNP,2,B,2022-12-30
ISRG,2,B,2022-12-30
BX,2,B,2022-12-30
CRWD,2,B,2022-12-30
DG,2,B,2022-12-30
MDB,2,B,2022-12-30
SLB,2,B,2022-12-30
NOW,2,B,2022-12-30
GE,2,B,2022-12-30
LIN,2,B,2022-12-30
BLK,2,B,2022-12-30
ADI,2,B,2022-12-30
MPC,2,B,2022-12-30
KLAC,2,B,2022-12-30
CVS,2,B,2022-12-30
VLO,2,B,2022-12-30
REGN,2,B,2022-12-30
ABC,2,B,2022-12-30
ABMD,2,B,2022-12-30
ABT,2,B,2022-12-30
ADS,2,B,2022-12-30
AEE,2,B,2022-12-30
MRVL,2,B,2022-12-30
NEE,2,B,2022-12-30
FIS,2,B,2022-12-30
FDX,2,B,2022-12-30
EOG,2,B,2022-12-30
COIN,2,B,2022-12-30
HUM,2,B,2022-12-30
GM,2,B,2022-12-30
MELI,2,B,2022-12-30
CCL,2,B,2022-12-30
RBLX,2,B,2022-12-30
CI,2,B,2022-12-30
MCK,2,B,2022-12-30
CSX,2,B,2022-12-30
USB,2,B,2022-12-30
EL,2,B,2022-12-30
CMG,2,B,2022-12-30
JD,2,B,2022-12-30
VRTX,2,B,2022-12-30
AZO,2,B,2022-12-30
