date,ticker,index_member
2019-01-01,AEE,SP500
2019-01-01,AEP,SP500
2019-01-01,AES,SP500
2019-01-01,AWK,SP500
2019-01-01,CMS,SP500
2019-01-01,CNP,SP500
2019-01-01,D,SP500
2019-01-01,DTE,SP500
2019-01-01,DUK,SP500
2019-01-01,ED,SP500
2019-01-01,EIX,SP500
2019-01-01,ES,SP500
2019-01-01,ETR,SP500
2019-01-01,EVRG,SP500
2019-01-01,EXC,SP500
2019-01-01,FE,SP500
2019-01-01,LNT,SP500
2019-01-01,NEE,SP500
2019-01-01,NI,SP500
2019-01-01,NRG,SP500
2019-01-01,PCG,SP500
2019-01-01,PEG,SP500
2019-01-01,PNW,SP500
2019-01-01,PPL,SP500
2019-01-01,SCG,SP500
2019-01-01,SO,SP500
2019-01-01,SRE,SP500
2019-01-01,WEC,SP500
2019-01-01,XEL,SP500
2019-02-01,AEE,SP500
2019-02-01,AEP,SP500
2019-02-01,AES,SP500
2019-02-01,AWK,SP500
2019-02-01,CMS,SP500
2019-02-01,CNP,SP500
2019-02-01,D,SP500
2019-02-01,DTE,SP500
2019-02-01,DUK,SP500
2019-02-01,ED,SP500
2019-02-01,EIX,SP500
2019-02-01,ES,SP500
2019-02-01,ETR,SP500
2019-02-01,EVRG,SP500
2019-02-01,EXC,SP500
2019-02-01,FE,SP500
2019-02-01,LNT,SP500
2019-02-01,NEE,SP500
2019-02-01,NI,SP500
2019-02-01,NRG,SP500
2019-02-01,PEG,SP500
2019-02-01,PNW,SP500
2019-02-01,PPL,SP500
2019-02-01,SO,SP500
2019-02-01,SRE,SP500
2019-02-01,WEC,SP500
2019-02-01,XEL,SP500
2019-03-01,AEE,SP500
2019-03-01,AEP,SP500
2019-03-01,AES,SP500
2019-03-01,ATO,SP500
2019-03-01,AWK,SP500
2019-03-01,CMS,SP500
2019-03-01,CNP,SP500
2019-03-01,D,SP500
2019-03-01,DTE,SP500
2019-03-01,DUK,SP500
2019-03-01,ED,SP500
2019-03-01,EIX,SP500
2019-03-01,ES,SP500
2019-03-01,ETR,SP500
2019-03-01,EVRG,SP500
2019-03-01,EXC,SP500
2019-03-01,FE,SP500
2019-03-01,LNT,SP500
2019-03-01,NEE,SP500
2019-03-01,NI,SP500
2019-03-01,NRG,SP500
2019-03-01,PEG,SP500
2019-03-01,PNW,SP500
2019-03-01,PPL,SP500
2019-03-01,SO,SP500
2019-03-01,SRE,SP500
2019-03-01,WEC,SP500
2019-03-01,XEL,SP500
2019-04-02,AEE,SP500
2019-04-02,AEP,SP500
2019-04-02,AES,SP500
2019-04-02,ATO,SP500
