ticker,fold,mode,cutoff_date
SPY,1,A,2021-12-30
TSLA,1,A,2021-12-30
QQQ,1,A,2021-12-30
HTN,1,A,2021-12-30
AAPL,1,A,2021-12-30
NVDA,1,A,2021-12-30
AMZN,1,A,2021-12-30
MSFT,1,A,2021-12-30
AMD,1,A,2021-12-30
META,1,A,2021-12-30
ACL,1,A,2021-12-30
DHA,1,A,2021-12-30
DHAI,1,A,2021-12-30
GOOG,1,A,2021-12-30
BABA,1,A,2021-12-30
MRNA,1,A,2021-12-30
ADBE,1,A,2021-12-30
MU,1,A,2021-12-30
PFE,1,A,2021-12-30
PYPL,1,A,2021-12-30
BAC,1,A,2021-12-30
BA,1,A,2021-12-30
V,1,A,2021-12-30
XYZ,1,A,2021-12-30
AVGO,1,A,2021-12-30
DIS,1,A,2021-12-30
JPM,1,A,2021-12-30
NFLX,1,A,2021-12-30
SHOP,1,A,2021-12-30
WMT,1,A,2021-12-30
HD,1,A,2021-12-30
MA,1,A,2021-12-30
UNH,1,A,2021-12-30
QCOM,1,A,2021-12-30
INTC,1,A,2021-12-30
F,1,A,2021-12-30
C,1,A,2021-12-30
PG,1,A,2021-12-30
COST,1,A,2021-12-30
CSCO,1,A,2021-12-30
SE,1,A,2021-12-30
T,1,A,2021-12-30
JNJ,1,A,2021-12-30
ORCL,1,A,2021-12-30
CMCSA,1,A,2021-12-30
MRVL,1,A,2021-12-30
WFC,1,A,2021-12-30
ABNB,1,A,2021-12-30
XOM,1,A,2021-12-30
KO,1,A,2021-12-30
CVX,1,A,2021-12-30
CCL,1,A,2021-12-30
GM,1,A,2021-12-30
VZ,1,A,2021-12-30
ZS,1,A,2021-12-30
EPAM,1,A,2021-12-30
CHTH,1,A,2021-12-30
CHTP,1,A,2021-12-30
FTV,1,A,2021-12-30
GDDY,1,A,2021-12-30
GEN,1,A,2021-12-30
GIS,1,A,2021-12-30
ACN,1,A,2021-12-30
NKE,1,A,2021-12-30
LLY,1,A,2021-12-30
GS,1,A,2021-12-30
MRK,1,A,2021-12-30
BNTX,1,A,2021-12-30
AMAT,1,A,2021-12-30
MDT,1,A,2021-12-30
TGT,1,A,2021-12-30
CRWD,1,A,2021-12-30
LOW,1,A,2021-12-30
JD,1,A,2021-12-30
DHR,1,A,2021-12-30
NOW,1,A,2021-12-30
TSM,1,A,2021-12-30
ABBV,1,A,2021-12-30
MS,1,A,2021-12-30
TXN,1,A,2021-12-30
BKNG,1,A,2021-12-30
AAL,1,A,2021-12-30
LRCX,1,A,2021-12-30
PEP,1,A,2021-12-30
BMY,1,A,2021-12-30
ABC,1,A,2021-12-30
ABMD,1,A,2021-12-30
ABT,1,A,2021-12-30
ADS,1,A,2021-12-30
AEE,1,A,2021-12-30
DDOG,1,A,2021-12-30
HON,1,A,2021-12-30
NET,1,A,2021-12-30
SBUX,1,A,2021-12-30
UAL,1,A,2021-12-30
MCDT,1,A,2021-12-30
FTNT,1,A,2021-12-30
CVNA,1,A,2021-12-30
MELI,1,A,2021-12-30
KLAC,1,A,2021-12-30
NEE,1,A,2021-12-30
AXP,1,A,2021-12-30
ASML,1,A,2021-12-30
AMGN,1,A,2021-12-30
ISRG,1,A,2021-12-30
DAL,1,A,2021-12-30
IBM,1,A,2021-12-30
CP,1,A,2021-12-30
ADI,1,A,2021-12-30
PLUG,1,A,2021-12-30
TEAM,1,A,2021-12-30
TMUS,1,A,2021-12-30
MDB,1,A,2021-12-30
FDX,1,A,2021-12-30
SPGI,1,A,2021-12-30
GE,1,A,2021-12-30
UNP,1,A,2021-12-30
DL1,1,A,2021-12-30
PDD,1,A,2021-12-30
DE,1,A,2021-12-30
CAT,1,A,2021-12-30
DASH,1,A,2021-12-30
CVS,1,A,2021-12-30
BX,1,A,2021-12-30
EBAY,1,A,2021-12-30
LMT,1,A,2021-12-30
MARA,1,A,2021-12-30
LIN,1,A,2021-12-30
TRIP,1,A,2021-12-30
TRMB,1,A,2021-12-30
BILL,1,A,2021-12-30
BIMC,1,A,2021-12-30
GME,1,A,2021-12-30
NXPI,1,A,2021-12-30
TJX,1,A,2021-12-30
COP,1,A,2021-12-30
GILD,1,A,2021-12-30
ADSK,1,A,2021-12-30
ZBH,1,A,2021-12-30
ZBRA,1,A,2021-12-30
ZION,1,A,2021-12-30
PM,1,A,2021-12-30
MDLZ,1,A,2021-12-30
PSKY,1,A,2021-12-30
DG,1,A,2021-12-30
EXPE,1,A,2021-12-30
UPS,1,A,2021-12-30
BLK,1,A,2021-12-30
CSX,1,A,2021-12-30
CTLT,1,A,2021-12-30
CTRA,1,A,2021-12-30
AMT,1,A,2021-12-30
FIS,1,A,2021-12-30
NEM,1,A,2021-12-30
