date,symbol,camino,action,entry_price,stop_loss,base_high,avwap,gap_pct,outcome,exit_price,exit_date,return_pct,hold_days,reasoning
2023-07-03,AAPL,BLUE_SKY,BUY_STOP,192.1975853872896,189.44697392789521,192.14758538728958,190.77618808053478,-0.0009797716694206946,LOSS,189.44697392789521,2023-07-05,-1.4311373651504165,1,Blue Sky Breakout: Base (192.15) and AVWAP (190.78) converge within 0.7%. Clear path above.
2023-07-05,AAPL,BLUE_SKY,BUY_STOP,192.1975853872896,189.6717456310555,192.14758538728958,190.3656828287313,-0.004624187532328186,LOSS,189.6717456310555,2023-07-06,-1.3141891200892946,1,Blue Sky Breakout: Base (192.15) and AVWAP (190.37) converge within 0.9%. Clear path above.
2023-07-06,AAPL,BLUE_SKY,BUY_STOP,192.1975853872896,189.66532334083263,192.14758538728958,190.00989502466598,-0.0077876792211643,LOSS,189.66532334083263,2023-07-07,-1.3175306242033713,1,Blue Sky Breakout: Base (192.15) and AVWAP (190.01) converge within 1.1%. Clear path above.
2023-07-07,AAPL,BLUE_SKY,BUY_STOP,192.1975853872896,189.73744816207693,192.14758538728958,189.80719399963874,-0.0020852979809696144,LOSS,189.73744816207693,2023-07-10,-1.2800042311953812,1,Blue Sky Breakout: Base (192.15) and AVWAP (189.81) converge within 1.2%. Clear path above.
2023-07-12,AAPL,BLUE_SKY,BUY_STOP,192.1975853872896,189.6890345506285,192.14758538728958,188.5567522636513,0.008506830580028104,LOSS,189.6890345506285,2023-07-13,-1.3051937315477828,1,Blue Sky Breakout: Base (192.15) and AVWAP (188.56) converge within 1.9%. Clear path above.
2023-07-13,AAPL,BLUE_SKY,BUY_STOP,192.1975853872896,189.70385404452875,192.14758538728958,188.5266315662852,0.003846755732959059,LOSS,189.70385404452875,2023-07-14,-1.2974831799972,1,Blue Sky Breakout: Base (192.15) and AVWAP (188.53) converge within 1.9%. Clear path above.
2023-07-14,AAPL,BLUE_SKY,BUY_STOP,192.1975853872896,189.74436268965954,192.14758538728958,188.5010173741287,-0.0016267072981315804,LOSS,189.74436268965954,2023-07-17,-1.2764066170168908,1,Blue Sky Breakout: Base (192.15) and AVWAP (188.50) converge within 1.9%. Clear path above.
2023-07-17,AAPL,BLUE_SKY,BUY_STOP,192.1975853872896,189.75572458780664,192.14758538728958,188.73288462684573,0.006345068831693726,LOSS,189.75572458780664,2023-07-21,-1.2704950452746104,4,Blue Sky Breakout: Base (192.15) and AVWAP (188.73) converge within 1.8%. Clear path above.
2023-07-18,AAPL,BLUE_SKY,BUY_STOP,192.1975853872896,189.7957387295354,192.14758538728958,188.9277583823975,-0.003299005964416567,LOSS,189.7957387295354,2023-07-21,-1.2496757713757576,3,Blue Sky Breakout: Base (192.15) and AVWAP (188.93) converge within 1.7%. Clear path above.
2023-07-20,AAPL,BLUE_SKY,BUY_STOP,195.9025828543745,193.2517588289526,195.85258285437448,192.4406060189485,-5.1257414259280336e-05,LOSS,193.2517588289526,2023-07-21,-1.3531337804731198,1,Blue Sky Breakout: Base (195.85) and AVWAP (192.44) converge within 1.7%. Clear path above.
2023-07-31,AAPL,BLUE_SKY,BUY_STOP,195.9025828543745,193.22755242761343,195.85258285437448,192.01455868798664,0.0011744115822191514,LOSS,193.22755242761343,2023-08-01,-1.3654901266664548,1,Blue Sky Breakout: Base (195.85) and AVWAP (192.01) converge within 2.0%. Clear path above.
